,p_mantel,p_mean_null
VISa,0.16983016983016982,0.14585414585414586
CA1,0.0939060939060939,0.08691308691308691
DG,0.025974025974025976,0.028971028971028972
LP,0.3516483516483517,0.3516483516483517
PO,0.07192807192807193,0.07892107892107893
