animal,contrast,genotype,0.2,0.5,0.8
NYU-28,-0.0625,N,0.6744186046511628,0.5962732919254659,0.7991071428571429
NYU-28,0.0,N,0.6370967741935484,0.5469613259668509,0.5275157232704403
NYU-28,0.0625,N,0.8648925281473899,0.7112299465240641,0.6958174904942965
NYU-28,0.125,N,0.9312820512820513,0.883248730964467,0.856655290102389
NYU-28,0.25,N,0.9626865671641791,0.9010989010989011,0.8764044943820225
NYU-28,1.0,N,0.990205680705191,0.9519230769230769,0.966542750929368
NYU-31,-1.0,N,0.98,0.9583333333333334,0.9883040935672515
NYU-31,-0.25,N,0.9186046511627907,0.948051948051948,0.9366391184573003
NYU-31,-0.125,N,0.8461538461538461,0.7777777777777778,0.924198250728863
NYU-31,-0.0625,N,0.7325581395348837,0.8,0.8034682080924855
NYU-31,0.0,N,0.6779661016949152,0.5594405594405595,0.3978260869565217
NYU-31,0.0625,N,0.8056338028169014,0.6666666666666666,0.7093023255813954
NYU-31,0.125,N,0.8157894736842105,0.7536231884057971,0.7333333333333333
NYU-31,0.25,N,0.8660968660968661,0.7083333333333334,0.8045977011494253
NYU-31,1.0,N,0.8898305084745762,0.7887323943661971,0.7831325301204819
NYU-32,-1.0,N,0.8584070796460177,0.9444444444444444,0.9414893617021277
NYU-32,-0.25,N,0.7291666666666666,0.6741573033707865,0.7846534653465347
NYU-32,-0.125,N,0.5436893203883495,0.5657894736842105,0.6657534246575343
NYU-32,-0.0625,N,0.36363636363636365,0.35365853658536583,0.5320855614973262
NYU-32,0.0,N,0.7474120082815735,0.45161290322580644,0.327313769751693
NYU-32,0.0625,N,0.9575,0.813953488372093,0.8947368421052632
NYU-32,0.125,N,0.9282511210762332,0.9375,0.8842105263157894
NYU-32,0.25,N,0.95,0.972972972972973,0.9418604651162791
NYU-32,1.0,N,0.9565217391304348,0.9487179487179487,0.9263157894736842
NYU-38,-1.0,N,0.8205128205128205,0.821917808219178,0.9550561797752809
NYU-38,-0.25,N,0.7959183673469388,0.7241379310344828,0.911578947368421
NYU-38,-0.125,N,0.6403508771929824,0.7037037037037037,0.8508403361344538
NYU-38,-0.0625,N,0.5086206896551724,0.5853658536585366,0.7864923747276689
NYU-38,0.0,N,0.5247148288973384,0.5405405405405406,0.6058700209643606
NYU-38,0.0625,N,0.7024608501118568,0.5555555555555556,0.5473684210526316
NYU-38,0.125,N,0.838495575221239,0.7228915662650602,0.6869565217391305
NYU-38,0.25,N,0.9274725274725275,0.8918918918918919,0.8476190476190476
NYU-38,1.0,N,0.9696969696969697,0.9518072289156626,0.9658119658119658
NYU-41,-1.0,N,0.944,0.963963963963964,0.9618055555555556
NYU-41,-0.25,N,0.9246575342465754,0.9067796610169492,0.9351145038167938
NYU-41,-0.125,N,0.8805970149253731,0.9107142857142857,0.8561643835616438
NYU-41,-0.0625,N,0.7132867132867133,0.7542372881355932,0.7951388888888888
NYU-41,0.0,N,0.6379821958456974,0.5707070707070707,0.48554913294797686
NYU-41,0.0625,N,0.8792184724689165,0.8141592920353983,0.7307692307692307
NYU-41,0.125,N,0.9405772495755518,0.9009009009009009,0.8896103896103896
NYU-41,0.25,N,0.95,0.9009009009009009,0.8832116788321168
NYU-41,1.0,N,0.9845360824742269,0.9431818181818182,0.935251798561151
NYU-42,-1.0,N,0.9402173913043478,0.9722222222222222,0.9759903961584634
NYU-42,-0.25,N,0.8967391304347826,0.9253731343283582,0.9642365887207703
NYU-42,-0.125,N,0.8134715025906736,0.8802816901408451,0.95
NYU-42,-0.0625,N,0.8134715025906736,0.8796992481203008,0.9122137404580153
NYU-42,0.0,N,0.43491735537190085,0.49812734082397003,0.70995670995671
NYU-42,0.0625,N,0.7243994943109987,0.6143790849673203,0.41304347826086957
NYU-42,0.125,N,0.8367593712212817,0.7094017094017094,0.5591397849462365
NYU-42,0.25,N,0.8954703832752613,0.813953488372093,0.7028571428571428
NYU-42,1.0,N,0.9456118665018541,0.9007633587786259,0.8873873873873874
NYU-43,-1.0,N,0.9538461538461539,0.9502262443438914,0.9808764940239044
NYU-43,-0.25,N,0.864406779661017,0.8398058252427184,0.9505882352941176
NYU-43,-0.125,N,0.7833935018050542,0.6923076923076923,0.9192789968652038
NYU-43,-0.0625,N,0.5480427046263345,0.6,0.8283582089552238
NYU-43,0.0,N,0.625,0.5076923076923077,0.5711297071129707
NYU-43,0.0625,N,0.841506129597198,0.7476635514018691,0.5719424460431655
NYU-43,0.125,N,0.9080357142857143,0.7777777777777778,0.7039473684210527
NYU-43,0.25,N,0.9252506836827712,0.8811881188118812,0.7203947368421053
NYU-43,1.0,N,0.9616122840690979,0.9411764705882353,0.8727272727272727
NYU-44,-1.0,N,0.9711538461538461,0.9762845849802372,0.9896661367249603
NYU-44,-0.25,N,0.956081081081081,0.943089430894309,0.9744718309859155
NYU-44,-0.125,N,0.9216300940438872,0.9,0.9486271036315324
NYU-44,-0.0625,N,0.8061224489795918,0.8095238095238095,0.9051651143099069
NYU-44,0.0,N,0.5841059602649007,0.5424836601307189,0.5882352941176471
NYU-44,0.0625,N,0.8710667689946278,0.6150442477876106,0.6616766467065869
NYU-44,0.125,N,0.9228971962616822,0.7830188679245284,0.7712418300653595
NYU-44,0.25,N,0.9424168694241687,0.8260869565217391,0.8380952380952381
NYU-44,1.0,N,0.96328125,0.9421487603305785,0.9080882352941176
NYU-49,-1.0,N,0.9642857142857143,0.9791666666666666,0.9535962877030162
NYU-49,-0.25,N,0.8817204301075269,0.9405940594059405,0.9193899782135077
NYU-49,-0.125,N,0.8461538461538461,0.826530612244898,0.9145496535796767
NYU-49,-0.0625,N,0.6910569105691057,0.7222222222222222,0.8576998050682261
NYU-49,0.0,N,0.5835010060362174,0.4968944099378882,0.6052141527001862
NYU-49,0.0625,N,0.7995824634655533,0.7126436781609196,0.6120689655172413
NYU-49,0.125,N,0.8403755868544601,0.8709677419354839,0.7203389830508474
NYU-49,0.25,N,0.9256594724220624,0.9036144578313253,0.8660714285714286
NYU-49,1.0,N,0.9616306954436451,0.945054945054945,0.935251798561151
SH002,-1.0,S,0.8980582524271845,0.9345794392523364,0.9586028460543338
SH002,-0.25,S,0.8251121076233184,0.8461538461538461,0.951048951048951
SH002,-0.125,S,0.7808219178082192,0.8415841584158416,0.9569377990430622
