animal,contrast,genotype,0.2,0.5,0.8
FMR011,0.0,F,0.5217391304347826,0.43333333333333335,0.5591572123176661
FMR011,0.0625,F,0.7585513078470825,0.76,0.7272727272727273
FMR011,0.125,F,0.8343313373253493,0.7798165137614679,0.7214285714285714
FMR011,0.25,F,0.8813229571984436,0.907563025210084,0.8357142857142857
FMR011,1.0,F,0.9049586776859504,0.9245283018867925,0.8633093525179856
FMR012,-1.0,F,0.06060606060606055,0.0,0.030927835051546393
FMR012,-0.25,F,0.13235294117647056,0.012499999999999956,0.07612456747404839
FMR012,-0.125,F,0.125,0.16417910447761197,0.1487889273356401
FMR012,-0.0625,F,0.27941176470588236,0.21818181818181814,0.2674418604651163
FMR012,0.0,F,0.723342939481268,0.5454545454545454,0.3674698795180723
FMR012,0.0625,F,0.8934707903780069,0.7692307692307693,0.8378378378378378
FMR012,0.125,F,0.9163498098859315,0.8032786885245902,0.8214285714285714
FMR012,0.25,F,0.9114391143911439,0.859375,0.9186046511627907
FMR012,1.0,F,0.953405017921147,0.8873239436619719,0.875
FMR014,-1.0,F,0.16216216216216217,0.0821917808219178,0.0714285714285714
FMR014,-0.25,F,0.23684210526315785,0.07971014492753625,0.1084840055632823
FMR014,-0.125,F,0.25153374233128833,0.13138686131386856,0.125
FMR014,-0.0625,F,0.3195266272189349,0.08695652173913049,0.16691068814055632
FMR014,0.0,F,0.6831432192648923,0.45410628019323673,0.44726810673443457
FMR014,0.0625,F,0.9011976047904192,0.8409090909090909,0.8580645161290322
FMR014,0.125,F,0.9428989751098097,0.8518518518518519,0.9
FMR014,0.25,F,0.9310344827586207,0.8702290076335878,0.9112426035502958
FMR014,1.0,F,0.962536023054755,0.9243697478991597,0.9375
FMR015,-1.0,F,0.020547945205479423,0.007194244604316502,0.013782542113323082
FMR015,-0.25,F,0.040000000000000036,0.021428571428571463,0.031298904538341166
FMR015,-0.125,F,0.03389830508474578,0.07692307692307687,0.04060150375939853
FMR015,-0.0625,F,0.08762886597938147,0.1328125,0.08079268292682928
FMR015,0.0,F,0.4281729428172943,0.5387931034482759,0.6464924346629987
FMR015,0.0625,F,0.7937411095305832,0.7133333333333334,0.6944444444444444
FMR015,0.125,F,0.8954802259887006,0.8611111111111112,0.8592592592592593
FMR015,0.25,F,0.9273255813953488,0.9006211180124224,0.8823529411764706
FMR015,1.0,F,0.9632352941176471,0.9603174603174603,0.9575757575757575
FMR019,-1.0,F,0.031073446327683607,0.028880866425992746,0.029074215761285438
FMR019,-0.25,F,0.046070460704607075,0.06289308176100628,0.04751131221719462
FMR019,-0.125,F,0.0950920245398773,0.1476510067114094,0.10551558752997603
FMR019,-0.0625,F,0.2063492063492064,0.296028880866426,0.19088098918083463
FMR019,0.0,F,0.6522568340750159,0.5360443622920518,0.435611038107753
FMR019,0.0625,F,0.8537931034482759,0.7508305647840532,0.79375
FMR019,0.125,F,0.9147169811320754,0.852233676975945,0.8972809667673716
FMR019,0.25,F,0.9371345029239766,0.9181494661921709,0.9429530201342282
FMR019,1.0,F,0.9635687732342008,0.972972972972973,0.9450171821305842
FMR020,-1.0,F,0.04054054054054057,0.0786516853932584,0.01849217638691325
FMR020,-0.25,F,0.06666666666666665,0.09345794392523366,0.032301480484522194
FMR020,-0.125,F,0.2195121951219512,0.25263157894736843,0.0692090395480226
FMR020,-0.0625,F,0.2638036809815951,0.1834862385321101,0.09486780715396581
FMR020,0.0,F,0.5078864353312302,0.5251396648044693,0.6493150684931507
FMR020,0.0625,F,0.7737909516380655,0.504950495049505,0.562874251497006
FMR020,0.125,F,0.883248730964467,0.8217821782178217,0.7790697674418605
FMR020,0.25,F,0.9429967426710097,0.8990825688073395,0.8853503184713376
FMR020,1.0,F,0.9872813990461049,0.96,0.9329608938547486
FMR024,-1.0,F,0.020746887966805017,0.02564102564102566,0.019407558733401387
FMR024,-0.25,F,0.05327868852459017,0.05392156862745101,0.03343166175024581
FMR024,-0.125,F,0.0847457627118644,0.05945945945945941,0.06212424849699394
FMR024,-0.0625,F,0.18181818181818177,0.15596330275229353,0.12397540983606559
FMR024,0.0,F,0.5684210526315789,0.49184782608695654,0.5932642487046632
FMR024,0.0625,F,0.8509127789046653,0.7711442786069652,0.7198443579766537
FMR024,0.125,F,0.9078014184397163,0.9267015706806283,0.8041666666666667
FMR024,0.25,F,0.9173469387755102,0.9414634146341463,0.8600823045267489
FMR024,1.0,F,0.9472140762463344,0.9859154929577465,0.95
NYU-08,-1.0,N,0.1159420289855072,0.08571428571428574,0.032383419689119175
NYU-08,-0.25,N,0.17500000000000004,0.13461538461538458,0.05078125
NYU-08,-0.125,N,0.28365384615384615,0.12878787878787878,0.07270408163265307
NYU-08,-0.0625,N,0.31746031746031744,0.2727272727272727,0.09291521486643439
NYU-08,0.0,N,0.5111561866125761,0.5174825174825175,0.7027300303336703
NYU-08,0.0625,N,0.7913340935005702,0.6,0.4898989898989899
NYU-08,0.125,N,0.8574850299401198,0.7426470588235294,0.6354679802955665
NYU-08,0.25,N,0.9157175398633257,0.8410596026490066,0.7789473684210526
NYU-08,1.0,N,0.9684848484848485,0.9668874172185431,0.890625
NYU-28,-1.0,N,0.06451612903225812,0.040000000000000036,0.03992740471869327
NYU-28,-0.25,N,0.1383928571428571,0.06842105263157894,0.08159564823209431
NYU-28,-0.125,N,0.21942446043165464,0.14778325123152714,0.11707746478873238
NYU-28,-0.0625,N,0.32558139534883723,0.40372670807453415,0.2008928571428571
NYU-28,0.0,N,0.6370967741935484,0.5469613259668509,0.5275157232704403
NYU-28,0.0625,N,0.8648925281473899,0.7112299465240641,0.6958174904942965
NYU-28,0.125,N,0.9312820512820513,0.883248730964467,0.856655290102389
NYU-28,0.25,N,0.9626865671641791,0.9010989010989011,0.8764044943820225
NYU-28,1.0,N,0.990205680705191,0.9519230769230769,0.966542750929368
NYU-31,-1.0,N,0.020000000000000018,0.04166666666666663,0.011695906432748537
NYU-31,-0.25,N,0.08139534883720934,0.051948051948051965,0.0633608815426997
NYU-31,-0.125,N,0.15384615384615385,0.2222222222222222,0.07580174927113703
NYU-31,-0.0625,N,0.2674418604651163,0.19999999999999996,0.19653179190751446
