subj,t,p_ttest,W,p_wilcoxon,mean_diff,std_diff
4,150.00430414658288,7.214853324994603e-119,5050.0,1.9482799225479546e-18,1.9564130949769578,0.12977003975770898
5,393.6454135695173,2.8637118475260356e-160,5050.0,1.9482799225479546e-18,10.874449713776293,0.2748651572627634
8,374.2467021593508,4.248720615109669e-158,5050.0,1.9482799225479546e-18,5.782380995813216,0.15373272267202168
19,204.9184136034532,3.085305734913573e-132,5050.0,1.9481700188239655e-18,2.7042236767390313,0.1313043829574263
23,177.85851033567934,3.6478693194038696e-126,5050.0,1.9482799225479546e-18,2.702363633713341,0.15117735220900358
25,192.4978690930022,1.4824538455467088e-129,5050.0,1.9481700188239655e-18,3.20036478018351,0.16542119481346715
29,106.29605066023473,3.758880129876129e-104,5050.0,1.9482799225479546e-18,1.8116313404172102,0.16957830636111143
30,155.50835142924657,2.067102832858526e-120,5050.0,1.9482799225479546e-18,1.195692396261389,0.0765038598885336
37,80.34976539869997,2.9413722466571815e-92,5050.0,1.9482799225479546e-18,3.547281871313395,0.4392671067948129
43,232.09902826497623,1.3970074094754932e-137,5050.0,1.9482799225479546e-18,3.8725713447383305,0.1660136135044375
