subj,region,p_ttest,t,mean_diff,std_diff
4,CA1,1.0,-70.0446426624932,-0.789913287592796,0.11220755330932328
4,DG,3.794234245758044e-93,82.05447485139429,2.6396221172434142,0.32007892928722415
4,LP,6.795889102540179e-90,75.98457547295268,2.2944930294675445,0.30045462840830967
4,PO,2.991296555095387e-96,88.28213809493222,3.0623277971573843,0.3451409030439983
4,VISa,6.213551066846874e-96,87.62445705079969,2.5800877631595682,0.2929724185894812
5,CA1,2.2694481497800436e-120,155.3611319102268,8.122627952232252,0.5202017177264245
5,DG,1.735891716715314e-145,279.029537796075,5.3846492827482795,0.19201043846029245
5,LP,2.8736731793520827e-142,258.8759631097211,9.786927715087105,0.3761596869561427
5,PO,9.619945072199365e-161,398.00965843041297,26.932368159005602,0.6732843638875187
5,VISa,3.5352808714076914e-126,177.91501652748136,4.123303195341902,0.2305951998218806
8,CA1,2.0431647570568586e-127,183.12873779719357,3.51321452206129,0.19088234623135655
8,DG,9.25129223146359e-147,287.4271057741416,4.328197947401595,0.14982938270127064
8,LP,2.1376035850562383e-155,351.43745494019623,10.03052909100624,0.2839836873614403
8,PO,5.187129927137944e-139,239.96391572957504,9.66852780583488,0.4008962627932349
8,VISa,1.2012537242906295e-103,105.04506643658816,1.3973827468271984,0.13236016931475056
19,CA1,7.809423795599e-106,110.57405009928615,2.308299162148249,0.20770955439897298
19,DG,2.4087971988376304e-109,120.05442078356974,1.9828583402321565,0.16433540099700245
19,LP,1.0012798146768862e-125,176.04809421631347,2.396605530914739,0.13545119051561072
19,PO,1.999260768840061e-137,231.25866755493612,5.015309455150768,0.21578304302439313
19,VISa,5.097385487942638e-107,113.68914844434343,1.909362277350954,0.16710402926269857
23,CA1,3.047218850177608e-100,96.9745811111269,2.304156592376801,0.23641317510968463
23,DG,8.446893468385522e-100,95.97058657279807,1.9609502893139228,0.20330405099461704
23,LP,1.8499629991252463e-114,135.31738413396283,2.3532541510680525,0.17303455366190765
23,PO,4.572809452627221e-137,229.33053286855673,5.035210886076751,0.21846073055175685
23,VISa,8.245184357020972e-103,103.00278151685005,1.8665860736816031,0.180308693245099
25,CA1,7.625662419184976e-99,93.83843699756181,4.212855937615667,0.4466974159401795
25,DG,7.72308638275141e-86,69.02298517625164,1.5779981235934037,0.22747325470551624
25,LP,6.60713760492886e-105,108.19541253160335,4.034575231014768,0.3710278998888849
25,PO,3.693631206187334e-115,137.54936409468644,3.345863842748819,0.24202892624880976
25,VISa,1.3208514177349445e-74,52.77659485355984,2.831894846827308,0.5338919275899608
29,CA1,2.567049058170033e-72,49.94184918213438,1.7159473674776349,0.3418668113689289
29,DG,4.093363371266338e-83,64.69509397687324,1.6403291133990618,0.2522767585955963
29,LP,3.0826768539089436e-54,31.93712883898417,1.7717444309594066,0.5519793151901561
29,PO,8.614045994619514e-88,72.29433907422715,2.6225766128742243,0.36094538190331743
29,VISa,4.7365392739980204e-90,76.26686805527378,1.3190926330124655,0.17209053311014252
30,CA1,0.9983212110833135,-3.0056874386854755,-0.03691697996184931,0.12220808725880507
30,DG,4.0243963864350265e-69,46.21872226990071,0.8128381318447062,0.1749861722407227
30,LP,1.0,-27.092871841811817,-0.4389370796128367,0.16119992094047209
30,PO,8.348226808540866e-107,113.1197434879609,5.076177963787958,0.44649440908819066
30,VISa,7.050268782475048e-50,28.54468637086872,0.5424375555231941,0.18907846670587783
37,CA1,2.5612134937380947e-44,24.633223959518585,1.0567994881867329,0.4268634166662507
37,DG,2.511773701931155e-90,76.7653306603148,4.986151002952291,0.6462758076829155
37,LP,6.338196625603851e-78,57.15517910048383,3.8099983297778146,0.6632645603054439
37,PO,9.261225108476357e-72,49.27332488555262,4.233625678530032,0.8549056458709743
37,VISa,8.081519332647952e-87,70.6471682195553,3.6789036661530634,0.5181330012792444
43,CA1,2.2471769223369818e-111,125.8977251024916,3.1653620986805975,0.2501630207787057
43,DG,7.524052348955826e-111,124.36080906337054,2.771073543753198,0.22170838096815337
43,LP,5.461428387636729e-93,81.74875108325055,1.897304182368199,0.2309263200735301
43,PO,8.182909692070456e-122,160.68506029611999,8.656003349134318,0.5359934876378448
43,VISa,1.1364380798897276e-84,67.13496169111087,2.913833831598532,0.4318507053889722
